district,block,cluster,pct_mean_first,pct_floor_first,n_students_first,pct_mean_last,pct_floor_last,n_students_last,change_pp,floor_change_pp,annualised_pp,years,instrument_caveat
Ballari,B0117 sandur,C1185 metriki,77.78,55.0,363,28.77,0.0,558,-49.01,-55.0,-24.5,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayapura,B0016 basavan bagewadi,C2195 ingaleshwar,81.56,63.5,128,35.31,5.0,162,-46.25,-58.5,-23.12,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayanagara,B0084 kudligi,C0812 k.iyana halli,91.0,80.0,211,46.52,10.0,178,-44.48,-70.0,-22.24,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Chitradurga,B0035 chitradurga,C0233 bheemasamudra,75.17,54.5,150,34.16,5.0,173,-41.01,-49.5,-20.5,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bidar,B0019 bhalki,C0577 halhalli (k),78.97,60.0,68,38.6,5.0,118,-40.37,-55.0,-20.18,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Tumakuru,B0137 turuvekere,C0881 kanathur,88.06,69.5,80,48.1,15.0,71,-39.96,-54.5,-19.98,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Ramanagara,B0112 ramanagara,C0835 kailancha,79.32,50.0,103,40.61,10.0,123,-38.71,-40.0,-19.36,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Belagavi,B0110 raibag,C0710 hubbarwadi,74.34,40.0,294,36.8,5.0,253,-37.54,-35.0,-18.77,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bidar,B0020 bidar,C0871 kamthana,64.9,40.0,104,27.42,0.0,157,-37.48,-40.0,-18.74,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayapura,B0161 muddebihal,C1833 balabatti,79.73,60.0,150,42.25,10.0,476,-37.48,-50.0,-18.74,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bidar,B0068 humnabad,C0361 chitguppa (urdu),64.21,20.0,108,26.87,0.0,171,-37.34,-20.0,-18.67,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Mandya,B0093 malavally,C0700 hosa hally,90.0,75.0,85,53.65,20.0,167,-36.35,-55.0,-18.17,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Yadgir,B0123 shorapur,C1203 mudanoor,72.1,40.0,321,35.78,0.0,160,-36.32,-40.0,-18.16,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Tumakuru,B0046 gubbi,C0704 hosakere,77.69,55.0,364,41.59,5.5,132,-36.1,-49.5,-18.05,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Haveri,B0053 hanagal,C0132 balambeed,80.92,60.0,169,45.2,10.0,253,-35.72,-50.0,-17.86,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Hassan,B0116 sakaleshapura,C0139 ballupete,90.0,90.0,1,55.87,15.0,208,-34.13,-75.0,-17.06,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Belagavi,B0113 ramdurg,C1625 turanur,84.74,65.0,304,51.73,15.0,292,-33.01,-50.0,-16.5,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Ballari,B0117 sandur,C0259 bomma gatta,59.4,15.0,316,26.49,0.0,462,-32.91,-15.0,-16.46,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Chamarajanagara,B0054 hanur,C0607 hanur,58.83,30.0,30,26.67,5.0,27,-32.16,-25.0,-16.08,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
