block,cohort,year_from,grade_from,n_from,mean_from,year_to,grade_to,n_to,mean_to,progression_pp,instrument_caveat
B0161 muddebihal,G4 2022-23 -> G5 2023-24,2022-23,4.0,50,82.2,2023-24,5.0,1281,48.840748,-33.36,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0139 vijayapura rural,G4 2022-23 -> G5 2023-24,2022-23,4.0,150,82.86667,2023-24,5.0,1948,51.214066,-31.65,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0025 chadachan,G4 2022-23 -> G5 2023-24,2022-23,4.0,133,82.55639,2023-24,5.0,563,56.030197,-26.53,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0070 indi,G5 2022-23 -> G6 2023-24,2022-23,5.0,140,77.35714,2023-24,6.0,1480,51.89527,-25.46,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0132 srirangapatna,G4 2022-23 -> G5 2023-24,2022-23,4.0,361,73.97507,2023-24,5.0,596,49.505035,-24.47,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0139 vijayapura rural,G5 2022-23 -> G6 2023-24,2022-23,5.0,149,76.91275,2023-24,6.0,1978,52.76542,-24.15,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0161 muddebihal,G5 2022-23 -> G6 2023-24,2022-23,5.0,50,74.7,2023-24,6.0,1328,51.035393,-23.66,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0053 hanagal,G5 2022-23 -> G6 2023-24,2022-23,5.0,292,77.19178,2023-24,6.0,1335,53.737827,-23.45,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0072 jamakhandi,G4 2022-23 -> G5 2023-24,2022-23,4.0,195,71.20513,2023-24,5.0,1418,49.337093,-21.87,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0070 indi,G4 2022-23 -> G5 2023-24,2022-23,4.0,144,69.34028,2023-24,5.0,1465,47.65529,-21.68,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0053 hanagal,G4 2022-23 -> G5 2023-24,2022-23,4.0,256,70.80078,2023-24,5.0,1425,49.80351,-21.0,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0132 srirangapatna,G5 2022-23 -> G6 2023-24,2022-23,5.0,355,74.64789,2023-24,6.0,703,53.91892,-20.73,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0118 savanur,G4 2022-23 -> G5 2023-24,2022-23,4.0,249,68.574295,2023-24,5.0,764,47.951572,-20.62,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0016 basavan bagewadi,G4 2022-23 -> G5 2023-24,2022-23,4.0,139,73.741005,2023-24,5.0,1033,54.86447,-18.88,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0016 basavan bagewadi,G5 2022-23 -> G6 2023-24,2022-23,5.0,134,76.343285,2023-24,6.0,1161,57.67442,-18.67,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0114 ranebennur,G4 2022-23 -> G5 2023-24,2022-23,4.0,268,73.712685,2023-24,5.0,1166,55.18439,-18.53,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0056 harihara,G5 2023-24 -> G6 2024-25,2023-24,5.0,656,60.846035,2024-25,6.0,963,43.15161,-17.69,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0149 haveri,G4 2022-23 -> G5 2023-24,2022-23,4.0,237,68.50211,2023-24,5.0,911,50.86169,-17.64,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0072 jamakhandi,G5 2022-23 -> G6 2023-24,2022-23,5.0,197,72.233505,2023-24,6.0,1431,54.598183,-17.64,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0117 sandur,G5 2023-24 -> G6 2024-25,2023-24,5.0,1326,48.11086,2024-25,6.0,1478,30.828823,-17.28,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0103 nagamangala,G4 2022-23 -> G5 2023-24,2022-23,4.0,688,71.780525,2023-24,5.0,766,54.5235,-17.26,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0149 haveri,G5 2022-23 -> G6 2023-24,2022-23,5.0,258,69.263565,2023-24,6.0,919,52.11099,-17.15,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0098 mudalgi,G5 2022-23 -> G6 2023-24,2022-23,5.0,98,77.19388,2023-24,6.0,1163,60.49441,-16.7,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0137 turuvekere,G5 2023-24 -> G6 2024-25,2023-24,5.0,753,72.988045,2024-25,6.0,553,56.338154,-16.65,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0116 sakaleshapura,G4 2022-23 -> G5 2023-24,2022-23,4.0,120,73.083336,2023-24,5.0,574,56.454704,-16.63,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0018 belur,G5 2022-23 -> G6 2023-24,2022-23,5.0,169,71.92308,2023-24,6.0,488,56.07582,-15.85,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0125 sindagi,G5 2022-23 -> G6 2023-24,2022-23,5.0,142,62.74648,2023-24,6.0,1149,47.014797,-15.73,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0100 mulbagal,G5 2022-23 -> G6 2023-24,2022-23,5.0,209,62.942585,2023-24,6.0,868,47.258064,-15.68,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
