id,verdict,hypothesis,effect,evidence,caveat,policy_meaning,source
EH1,SUPPORTED,G6 multiplicative decline survives inside a constant-GP panel (same GPs all 3 years),"panel (k=2182 GPs): mult 50.5->30.8 (-19.7pp vs raw -15.8pp, 125% persists); div 54.5->32.5 (-22.0pp vs raw -17.4pp, 127% persists)",GPs with >=10 G6 students in every year; student-weighted,"items change each year; competency-level comparison assumes similar within-competency difficulty; panel GPs are earlier joiners, not a random subset","If it survives, the G6 collapse is real deterioration, not new-GP composition; remediation, not measurement, is the response.",extra_hypotheses
EH2,DISCARD,G4 division improvement survives inside the constant-GP panel,panel (k=2278 GPs): G4 div 39.0->38.4 (-0.6pp vs raw +5.6pp),same panel construction as EH1,items change each year; competency-level comparison assumes similar within-competency difficulty,"A real G4 gain alongside a real G6 loss points at the upper-primary transition, not at a cohort-wide shock.",extra_hypotheses
EH3,SUPPORTED,G6 decline present even in districts whose coverage changed least,"bottom-tercile |d_cov| (8 districts, mean |d_cov|=3.9pp): mult -18.7pp, div -21.4pp (all-district: -20.1/-22.6)",unweighted district means,coverage change is district-level; within-district reach can still shift,Decline without a coverage story in these districts undercuts the pure-selection explanation.,extra_hypotheses
EH4,DISCARD,Districts that widened coverage most saw scores fall most (selection story),"r=-0.18 (p=0.396, n=25 districts); slope -0.33pp score per +10pp coverage","change 2022-23 -> 2024-25, rural State-Government basis both sides",ecological correlation; district coverage growth also tracks admin effort,"If supported, part of the reported decline is the contest reaching weaker children, which is a participation success, not only a learning failure.",extra_hypotheses
EH5,SUPPORTED,A G6 multiplication decline remains after controlling district coverage change,"regression d(mult) = -19.32 -0.03*d_cov (n=25); predicted decline at zero coverage change: -19.3pp (raw mean -20.1pp, sd 4.1)",district-level OLS,linear control only; unmeasured within-district selection can remain,The coverage-free decline estimate is the honest headline number for the G6 collapse.,extra_hypotheses
EH6,SUPPORTED,G6 decline appears even in districts already deeply covered in 2022-23 (>=40%),"11 districts with 2022-23 coverage >=40%: mult -19.8pp, div -21.7pp",these districts had least room for compositional dilution,small n; deep-start districts may differ in other ways,Same conclusion as EH1 by a different route; two independent designs agreeing is strong evidence.,extra_hypotheses
EH7,SUPPORTED,The district league table changes once you adjust for who was assessed (coverage),"cov-score r=0.55 (p=0.00373, n=26); 17 districts move >=3 ranks after adjustment; biggest: Raichur 19->12; Hassan 4->11; Gadag 15->20; Kodagu 13->8","2024-25, linear adjustment","adjustment is descriptive, not a causal correction",Never publish a raw league table from a voluntary contest; always publish coverage next to rank.,extra_hypotheses
EH8,DISCARD,Differential participation by gender inflates the measured girls' lead,"r=-0.47 (p=1.14e-05, n=80 district-years) between (girls-boys coverage) and (girls-boys score); the sign is negative: where girls are over-assessed the measured lead is SMALLER","all three years pooled, authoritative UDISE rural State-Govt denominator",district-level; within-school selection unobserved,"A negative sign means differential participation DEFLATES the measured lead, so the true gap is if anything larger than reported. That is the opposite of the usual worry, and it agrees with EH9, where balanced districts show a bigger lead.",extra_hypotheses
EH9,SUPPORTED,Girls still lead in districts where boys and girls are assessed at near-equal rates (|coverage gap|<=2pp),balanced district-years (n=25): girls-boys score gap +3.57pp (all: +2.79pp),balance defined on the verified UDISE rural State-Govt denominator,n shrinks under the balance filter,"A gap that survives balance is a real learning lead; report it with Cohen's d, not p-values.",extra_hypotheses
EH10,SUPPORTED,The girls' lead is stable across the three contest years despite coverage doubling,"girls-boys gap by year: 2022-23 +3.17pp, 2023-24 +2.55pp, 2024-25 +2.62pp",unweighted mean of district gaps,items change each year; competency-level comparison assumes similar within-competency difficulty,Stability across a doubling of reach argues the lead is not a participation artefact.,extra_hypotheses
